,wd11cd,comparison_Number_of_charities
0,E05000001,11
1,E05000002,12
2,E05000003,23
3,E05000005,42
4,E05000006,20
5,E05000011,3
6,E05000012,1
7,E05000013,41
8,E05000015,7
9,E05000018,88
10,E05000021,3
11,E05000026,28
12,E05000027,14
13,E05000028,1
14,E05000030,14
15,E05000031,6
16,E05000032,16
17,E05000034,14
18,E05000035,20
19,E05000038,21
20,E05000039,38
21,E05000041,24
22,E05000045,127
23,E05000052,151
24,E05000053,283
25,E05000065,19
26,E05000066,14
27,E05000067,9
28,E05000072,10
29,E05000073,8
30,E05000074,11
31,E05000075,6
32,E05000076,13
33,E05000077,2
34,E05000078,24
35,E05000080,2
36,E05000082,8
37,E05000083,32
38,E05000084,35
39,E05000087,21
40,E05000089,20
41,E05000091,26
42,E05000092,27
43,E05000097,1
44,E05000098,19
45,E05000100,27
46,E05000103,2
47,E05000105,23
48,E05000107,18
49,E05000112,4
50,E05000114,1
51,E05000116,22
52,E05000117,7
53,E05000123,34
54,E05000129,67
55,E05000138,169
56,E05000141,78
57,E05000148,1
58,E05000150,1
59,E05000153,1
60,E05000158,37
61,E05000161,16
62,E05000164,40
63,E05000165,4
64,E05000166,37
65,E05000169,22
66,E05000175,2
67,E05000179,3
68,E05000219,2
69,E05000221,25
70,E05000222,45
71,E05000223,3
72,E05000224,14
73,E05000225,29
74,E05000226,34
75,E05000227,25
76,E05000228,54
77,E05000229,47
78,E05000230,31
79,E05000239,42
80,E05000240,5
81,E05000253,5
82,E05000262,3
83,E05000307,30
84,E05000308,14
85,E05000309,30
86,E05000311,10
87,E05000315,18
88,E05000318,17
89,E05000320,23
90,E05000321,20
91,E05000322,10
92,E05000323,31
93,E05000325,1
94,E05000326,2
95,E05000332,14
96,E05000333,32
97,E05000340,15
98,E05000343,1
99,E05000346,19
100,E05000351,15
101,E05000352,22
102,E05000353,15
103,E05000354,20
104,E05000367,73
105,E05000370,52
106,E05000374,1
107,E05000380,11
108,E05000383,4
109,E05000386,3
110,E05000387,14
111,E05000390,22
112,E05000396,42
113,E05000397,5
114,E05000399,20
115,E05000406,8
116,E05000415,1
117,E05000416,11
118,E05000418,3
119,E05000420,4
120,E05000422,24
121,E05000423,23
122,E05000424,39
123,E05000426,47
124,E05000427,66
125,E05000428,40
126,E05000431,33
127,E05000432,31
128,E05000433,11
129,E05000434,35
130,E05000437,7
131,E05000438,23
132,E05000439,16
133,E05000441,17
134,E05000443,4
135,E05000444,32
136,E05000445,21
137,E05000446,23
138,E05000447,42
139,E05000448,37
140,E05000449,18
141,E05000450,33
142,E05000451,2
143,E05000452,30
144,E05000453,31
145,E05000455,21
146,E05000456,9
147,E05000457,20
148,E05000459,35
149,E05000461,5
150,E05000462,37
151,E05000463,2
152,E05000464,6
153,E05000465,1
154,E05000466,21
155,E05000469,35
156,E05000471,24
157,E05000472,44
158,E05000473,10
159,E05000474,36
160,E05000475,2
161,E05000508,1
162,E05000516,42
163,E05000517,53
164,E05000518,30
165,E05000519,35
166,E05000520,25
167,E05000521,26
168,E05000522,25
169,E05000525,32
170,E05000526,9
171,E05000528,39
172,E05000530,28
173,E05000532,2
174,E05000536,4
175,E05000538,43
176,E05000539,24
177,E05000540,17
178,E05000541,18
179,E05000542,1
180,E05000543,43
181,E05000544,24
182,E05000545,33
183,E05000546,43
184,E05000547,27
185,E05000548,13
186,E05000549,27
187,E05000550,7
188,E05000551,13
189,E05000552,20
190,E05000553,52
191,E05000554,48
192,E05000561,1
193,E05000585,5
194,E05000610,37
195,E05000611,29
196,E05000612,19
197,E05000613,46
198,E05000614,27
199,E05000615,25
200,E05000616,27
201,E05000617,27
202,E05000618,45
203,E05000619,38
204,E05000620,25
205,E05000621,30
206,E05000622,48
207,E05000623,20
208,E05000624,36
209,E05000625,44
210,E05000626,35
211,E05000627,44
212,E05000628,22
213,E05000629,33
214,E05000633,16
215,E05000637,57
216,E05000644,329
217,E05000645,20
218,E05000646,58
219,E05000647,77
220,E05000739,4
221,E05000740,20
222,E05000741,9
223,E05000742,11
224,E05000744,19
225,E05000745,6
226,E05000746,4
227,E05000747,19
228,E05000748,21
229,E05000749,16
230,E05000750,16
231,E05000751,11
232,E05000753,5
233,E05000755,18
234,E05000756,16
235,E05000757,8
236,E05000794,2
237,E05000801,1
238,E05000809,6
239,E05000810,14
240,E05000811,17
241,E05000812,6
242,E05000813,18
243,E05000814,19
244,E05000817,10
245,E05000818,18
246,E05000819,44
247,E05000820,1
248,E05000821,41
249,E05000822,8
250,E05000830,44
251,E05000831,34
252,E05000837,24
253,E05000839,17
254,E05000917,8
255,E05000919,10
256,E05000920,20
257,E05000921,7
258,E05000922,10
259,E05000923,14
260,E05000925,26
261,E05000929,14
262,E05000930,1
263,E05000931,19
264,E05000954,25
265,E05000955,25
266,E05000956,29
267,E05000957,16
268,E05000958,48
269,E05000959,27
270,E05000960,18
271,E05000961,29
272,E05000962,56
273,E05000963,42
274,E05000964,17
275,E05000965,24
276,E05000966,19
277,E05000967,19
278,E05000968,27
279,E05000969,27
280,E05000970,21
281,E05000971,17
282,E05000972,16
