,Ward Code 1,Ward Name 1,comparison_Population_2017_Estimate
0,E05000026,Abbey,15460.0
1,E05000027,Alibon,10995.0
2,E05000028,Becontree,14862.0
3,E05000029,Chadwell Heath,11265.0
4,E05000030,Eastbrook,11473.0
5,E05000031,Eastbury,12878.0
6,E05000032,Gascoigne,12806.0
7,E05000033,Goresbrook,12178.0
8,E05000034,Heath,12171.0
9,E05000035,Longbridge,12784.0
10,E05000036,Mayesbrook,10970.0
11,E05000037,Parsloes,11025.0
12,E05000038,River,12175.0
13,E05000039,Thames,14821.0
14,E05000040,Valence,10985.0
15,E05000041,Village,11649.0
16,E05000042,Whalebone,12214.0
17,E05000043,Brunswick Park,16957.0
18,E05000044,Burnt Oak,19548.0
19,E05000045,Childs Hill,21776.0
20,E05000046,Colindale,23986.0
21,E05000047,Coppetts,18817.0
22,E05000048,East Barnet,17176.0
23,E05000049,East Finchley,17433.0
24,E05000050,Edgware,18233.0
25,E05000051,Finchley Church End,16936.0
26,E05000052,Garden Suburb,16367.0
27,E05000053,Golders Green,20782.0
28,E05000054,Hale,18613.0
29,E05000055,Hendon,19497.0
30,E05000056,High Barnet,16425.0
31,E05000057,Mill Hill,19957.0
32,E05000058,Oakleigh,16854.0
33,E05000059,Totteridge,15732.0
34,E05000060,Underhill,16447.0
35,E05000061,West Finchley,18010.0
36,E05000062,West Hendon,19054.0
37,E05000063,Woodhouse,19203.0
38,E05000064,Barnehurst,10906.0
39,E05000065,Belvedere,13510.0
40,E05000066,Blackfen and Lamorbey,10799.0
41,E05000067,Blendon and Penhill,11116.0
42,E05000068,Brampton,10834.0
43,E05000069,Christchurch,11657.0
44,E05000070,Colyers,11114.0
45,E05000071,Crayford,13178.0
46,E05000072,Cray Meadows,11706.0
47,E05000073,Danson Park,11605.0
48,E05000074,East Wickham,11436.0
49,E05000075,Erith,13028.0
50,E05000076,Falconwood and Welling,11298.0
51,E05000077,Lesnes Abbey,11663.0
52,E05000078,Longlands,10666.0
53,E05000079,North End,13222.0
54,E05000080,Northumberland Heath,11075.0
55,E05000081,St Mary's,10998.0
56,E05000082,St Michael's,11407.0
57,E05000083,Sidcup,11381.0
58,E05000084,Thamesmead East,13525.0
59,E05000085,Alperton,16123.0
60,E05000086,Barnhill,16465.0
61,E05000087,Brondesbury Park,13307.0
62,E05000088,Dollis Hill,13597.0
63,E05000089,Dudden Hill,15938.0
64,E05000090,Fryent,13584.0
65,E05000091,Harlesden,18412.0
66,E05000092,Kensal Green,15451.0
67,E05000093,Kenton,11943.0
68,E05000094,Kilburn,17094.0
69,E05000095,Mapesbury,16498.0
70,E05000096,Northwick Park,13546.0
71,E05000097,Preston,16206.0
72,E05000098,Queens Park,15034.0
73,E05000099,Queensbury,15983.0
74,E05000100,Stonebridge,18480.0
75,E05000101,Sudbury,15303.0
76,E05000102,Tokyngton,17265.0
77,E05000103,Welsh Harp,14091.0
78,E05000104,Wembley Central,17223.0
79,E05000105,Willesden Green,17559.0
80,E05000106,Bickley,15495.0
81,E05000107,Biggin Hill,9872.0
82,E05000108,Bromley Common and Keston,16859.0
83,E05000109,Bromley Town,19289.0
84,E05000110,Chelsfield and Pratts Bottom,14908.0
85,E05000111,Chislehurst,15982.0
86,E05000112,Clock House,16440.0
87,E05000113,Copers Cope,17457.0
88,E05000114,Cray Valley East,16828.0
89,E05000115,Cray Valley West,17722.0
90,E05000116,Crystal Palace,13886.0
91,E05000117,Darwin,5306.0
92,E05000118,Farnborough and Crofton,15040.0
93,E05000119,Hayes and Coney Hall,16300.0
94,E05000120,Kelsey and Eden Park,16572.0
95,E05000121,Mottingham and Chislehurst North,11052.0
96,E05000122,Orpington,16094.0
97,E05000123,Penge and Cator,18784.0
98,E05000124,Petts Wood and Knoll,13869.0
99,E05000125,Plaistow and Sundridge,16057.0
100,E05000126,Shortlands,10456.0
101,E05000127,West Wickham,15123.0
102,E05000128,Belsize,14873.0
103,E05000129,Bloomsbury,11921.0
104,E05000130,Camden Town with Primrose Hill,13832.0
105,E05000131,Cantelowes,13807.0
106,E05000132,Fortune Green,13329.0
107,E05000133,Frognal and Fitzjohns,14332.0
108,E05000134,Gospel Oak,12888.0
109,E05000135,Hampstead Town,13185.0
110,E05000136,Haverstock,14429.0
111,E05000137,Highgate,12291.0
112,E05000138,Holborn and Covent Garden,15229.0
113,E05000139,Kentish Town,15190.0
114,E05000140,Kilburn,13909.0
115,E05000141,King's Cross,12952.0
116,E05000142,Regent's Park,14704.0
117,E05000143,St Pancras and Somers Town,16967.0
118,E05000144,Swiss Cottage,15369.0
119,E05000145,West Hampstead,14154.0
120,E05000146,Addiscombe,17583.0
121,E05000147,Ashburton,14822.0
122,E05000148,Bensham Manor,16606.0
123,E05000149,Broad Green,21300.0
124,E05000150,Coulsdon East,12642.0
125,E05000151,Coulsdon West,13957.0
126,E05000152,Croham,16637.0
127,E05000153,Fairfield,20041.0
128,E05000154,Fieldway,11796.0
129,E05000155,Heathfield,13388.0
130,E05000156,Kenley,15643.0
131,E05000157,New Addington,11290.0
132,E05000158,Norbury,17760.0
133,E05000159,Purley,15290.0
134,E05000160,Sanderstead,13004.0
135,E05000161,Selhurst,19475.0
136,E05000162,Selsdon and Ballards,11738.0
137,E05000163,Shirley,14530.0
138,E05000164,South Norwood,18019.0
139,E05000165,Thornton Heath,17289.0
140,E05000166,Upper Norwood,17056.0
141,E05000167,Waddon,18774.0
142,E05000168,West Thornton,18560.0
143,E05000169,Woodside,17637.0
144,E05000170,Acton Central,15938.0
145,E05000171,Cleveland,14237.0
146,E05000172,Dormers Wells,14027.0
147,E05000173,Ealing Broadway,14397.0
148,E05000174,Ealing Common,13634.0
149,E05000175,East Acton,21047.0
150,E05000176,Elthorne,14752.0
151,E05000177,Greenford Broadway,17899.0
