,Funding Org:Name,Award Year,Recipient District Geographic Code,Recipient Ward Geographic Code,Recipient Region,Amount Awarded,Identifier
0,A B Charitable Trust,2013,E06000002,E05009857,North East,10000.0,1
1,A B Charitable Trust,2013,E06000010,E05001671,Yorkshire and the Humber,10000.0,1
2,A B Charitable Trust,2013,E06000010,E05001677,Yorkshire and the Humber,7500.0,1
3,A B Charitable Trust,2013,E06000018,E05001836,East Midlands,10000.0,1
4,A B Charitable Trust,2013,E06000023,E05010885,South West,17500.0,2
5,A B Charitable Trust,2013,E06000028,E05002116,South West,7500.0,1
6,A B Charitable Trust,2013,E06000038,E05002319,South Central,10000.0,1
7,A B Charitable Trust,2013,E06000039,E05009340,South Central,7500.0,1
8,A B Charitable Trust,2013,E06000045,E05002463,South Central,10000.0,1
9,A B Charitable Trust,2013,E06000047,E05009060,North East,7500.0,1
10,A B Charitable Trust,2013,E07000108,E05004946,South East Coast,7500.0,1
11,A B Charitable Trust,2013,E07000110,E05004996,South East Coast,7000.0,1
12,A B Charitable Trust,2013,E07000178,E05006547,South Central,10000.0,1
13,A B Charitable Trust,2013,E08000003,E05000698,North West,10000.0,1
14,A B Charitable Trust,2013,E08000003,E05000706,North West,10000.0,1
15,A B Charitable Trust,2013,E08000003,E05000710,North West,10000.0,1
16,A B Charitable Trust,2013,E08000012,E05000891,North West,8000.0,1
17,A B Charitable Trust,2013,E08000019,E05010862,Yorkshire and the Humber,10000.0,1
18,A B Charitable Trust,2013,E08000021,E05001104,North East,7500.0,1
19,A B Charitable Trust,2013,E08000021,E05001107,North East,10000.0,1
20,A B Charitable Trust,2013,E08000025,E05001207,West Midlands,10000.0,1
21,A B Charitable Trust,2013,E08000032,E05001343,Yorkshire and the Humber,5000.0,1
22,A B Charitable Trust,2013,E08000035,E05001420,Yorkshire and the Humber,10000.0,1
23,A B Charitable Trust,2013,E08000035,E05001429,Yorkshire and the Humber,17500.0,2
24,A B Charitable Trust,2013,E09000007,E05000130,London,7500.0,1
25,A B Charitable Trust,2013,E09000007,E05000131,London,7500.0,1
26,A B Charitable Trust,2013,E09000007,E05000141,London,20000.0,2
27,A B Charitable Trust,2013,E09000009,E05000189,London,7500.0,1
28,A B Charitable Trust,2013,E09000012,E05009367,London,50000.0,3
29,A B Charitable Trust,2013,E09000012,E05009370,London,15000.0,1
30,A B Charitable Trust,2013,E09000013,E05000256,London,10000.0,1
31,A B Charitable Trust,2013,E09000014,E05000281,London,7500.0,1
32,A B Charitable Trust,2013,E09000019,E05000366,London,10000.0,1
33,A B Charitable Trust,2013,E09000019,E05000367,London,5000.0,1
34,A B Charitable Trust,2013,E09000019,E05000369,London,10000.0,1
35,A B Charitable Trust,2013,E09000019,E05000370,London,22500.0,2
36,A B Charitable Trust,2013,E09000019,E05000371,London,10000.0,1
37,A B Charitable Trust,2013,E09000019,E05000376,London,10000.0,1
38,A B Charitable Trust,2013,E09000019,E05000379,London,20000.0,1
39,A B Charitable Trust,2013,E09000020,E05009396,London,10000.0,1
40,A B Charitable Trust,2013,E09000022,E05000420,London,10000.0,1
41,A B Charitable Trust,2013,E09000022,E05000426,London,5000.0,1
42,A B Charitable Trust,2013,E09000023,E05000443,London,7500.0,1
43,A B Charitable Trust,2013,E09000028,E05000536,London,5000.0,1
44,A B Charitable Trust,2013,E09000028,E05000537,London,7500.0,1
45,A B Charitable Trust,2013,E09000028,E05000542,London,10000.0,1
46,A B Charitable Trust,2013,E09000028,E05000553,London,7500.0,1
47,A B Charitable Trust,2013,E09000030,E05009318,London,10000.0,1
48,A B Charitable Trust,2013,E09000030,E05009331,London,5000.0,1
49,A B Charitable Trust,2013,S12000046,S13002976,Scotland,10000.0,1
50,A B Charitable Trust,2013,W06000011,W05000961,Wales,7500.0,1
51,A B Charitable Trust,2014,E06000002,E05009857,North East,10000.0,1
52,A B Charitable Trust,2014,E06000018,E05001836,East Midlands,10000.0,1
53,A B Charitable Trust,2014,E06000023,E05010885,South West,10000.0,1
54,A B Charitable Trust,2014,E06000026,E05002094,South West,20000.0,2
55,A B Charitable Trust,2014,E06000028,E05002116,South West,10000.0,1
56,A B Charitable Trust,2014,E06000035,E05002264,South East Coast,10000.0,1
57,A B Charitable Trust,2014,E06000038,E05002319,South Central,15000.0,1
58,A B Charitable Trust,2014,E06000039,E05009340,South Central,10000.0,1
59,A B Charitable Trust,2014,E06000044,E05002443,South Central,10000.0,1
60,A B Charitable Trust,2014,E06000045,E05002463,South Central,10000.0,1
61,A B Charitable Trust,2014,E07000006,E05010573,South Central,10000.0,1
62,A B Charitable Trust,2014,E07000106,E05010391,South East Coast,5000.0,1
63,A B Charitable Trust,2014,E07000178,E05006547,South Central,10000.0,1
64,A B Charitable Trust,2014,E07000178,E05006566,South Central,10000.0,1
65,A B Charitable Trust,2014,E07000226,E05007642,South East Coast,7500.0,1
66,A B Charitable Trust,2014,E08000002,E05000672,North West,8500.0,1
67,A B Charitable Trust,2014,E08000003,E05000698,North West,15000.0,1
68,A B Charitable Trust,2014,E08000012,E05000905,North West,10000.0,1
69,A B Charitable Trust,2014,E08000019,E05010862,Yorkshire and the Humber,10000.0,1
70,A B Charitable Trust,2014,E08000021,E05001104,North East,10000.0,1
71,A B Charitable Trust,2014,E08000026,E05001228,West Midlands,15000.0,1
72,A B Charitable Trust,2014,E08000035,E05001420,Yorkshire and the Humber,10000.0,1
73,A B Charitable Trust,2014,E08000035,E05001424,Yorkshire and the Humber,10000.0,1
74,A B Charitable Trust,2014,E08000035,E05001429,Yorkshire and the Humber,20000.0,2
75,A B Charitable Trust,2014,E09000007,E05000129,London,10000.0,1
76,A B Charitable Trust,2014,E09000007,E05000131,London,7500.0,1
77,A B Charitable Trust,2014,E09000007,E05000141,London,15000.0,1
78,A B Charitable Trust,2014,E09000009,E05000189,London,7500.0,1
79,A B Charitable Trust,2014,E09000012,E05009367,London,15000.0,1
80,A B Charitable Trust,2014,E09000013,E05000253,London,10000.0,1
81,A B Charitable Trust,2014,E09000017,E05000325,London,7500.0,1
82,A B Charitable Trust,2014,E09000019,E05000366,London,16000.0,2
83,A B Charitable Trust,2014,E09000019,E05000367,London,23000.0,2
84,A B Charitable Trust,2014,E09000019,E05000369,London,10000.0,1
85,A B Charitable Trust,2014,E09000019,E05000370,London,20000.0,1
86,A B Charitable Trust,2014,E09000019,E05000371,London,25000.0,3
87,A B Charitable Trust,2014,E09000019,E05000373,London,7500.0,1
88,A B Charitable Trust,2014,E09000019,E05000376,London,10000.0,1
89,A B Charitable Trust,2014,E09000019,E05000379,London,10000.0,1
90,A B Charitable Trust,2014,E09000020,E05009396,London,10000.0,1
91,A B Charitable Trust,2014,E09000022,E05000416,London,7500.0,1
92,A B Charitable Trust,2014,E09000022,E05000420,London,10000.0,1
93,A B Charitable Trust,2014,E09000022,E05000425,London,7500.0,1
94,A B Charitable Trust,2014,E09000022,E05000426,London,40000.0,3
95,A B Charitable Trust,2014,E09000022,E05000428,London,10000.0,1
96,A B Charitable Trust,2014,E09000022,E05000436,London,8000.0,1
97,A B Charitable Trust,2014,E09000023,E05000443,London,10000.0,1
98,A B Charitable Trust,2014,E09000025,E05000481,London,10000.0,1
99,A B Charitable Trust,2014,E09000025,E05000492,London,10000.0,1
100,A B Charitable Trust,2014,E09000028,E05000536,London,20000.0,2
101,A B Charitable Trust,2014,E09000030,E05009318,London,10000.0,1
102,A B Charitable Trust,2014,E09000030,E05009331,London,5000.0,1
103,A B Charitable Trust,2014,E09000032,E05000622,London,5000.0,1
104,A B Charitable Trust,2014,E09000033,E05000632,London,7500.0,1
105,A B Charitable Trust,2014,S12000036,S13002929,Scotland,10000.0,1
106,A B Charitable Trust,2014,S12000046,S13002976,Scotland,10000.0,1
107,A B Charitable Trust,2015,E06000015,E05001770,East Midlands,10000.0,1
108,A B Charitable Trust,2015,E06000018,E05001837,East Midlands,7500.0,1
109,A B Charitable Trust,2015,E06000026,E05002094,South West,10000.0,1
110,A B Charitable Trust,2015,E06000030,E05008954,South West,10000.0,1
111,A B Charitable Trust,2015,E06000032,E05002208,East of England,10000.0,1
112,A B Charitable Trust,2015,E06000047,E05009060,North East,7500.0,1
113,A B Charitable Trust,2015,E06000055,E05008761,East of England,7500.0,1
114,A B Charitable Trust,2015,E07000004,E05010349,South Central,10000.0,1
115,A B Charitable Trust,2015,E07000008,E05002706,East of England,10000.0,1
116,A B Charitable Trust,2015,E07000045,E05008599,South West,10000.0,1
117,A B Charitable Trust,2015,E07000108,E05004946,South East Coast,10000.0,1
118,A B Charitable Trust,2015,E07000145,E05005795,East of England,10000.0,1
119,A B Charitable Trust,2015,E07000178,E05006566,South Central,10000.0,1
120,A B Charitable Trust,2015,E07000202,E05007130,East of England,20000.0,2
121,A B Charitable Trust,2015,E07000226,E05007642,South East Coast,7500.0,1
122,A B Charitable Trust,2015,E08000003,E05000698,North West,25000.0,1
123,A B Charitable Trust,2015,E08000003,E05000706,North West,10000.0,1
124,A B Charitable Trust,2015,E08000005,E05000748,North West,10000.0,1
125,A B Charitable Trust,2015,E08000019,E05010862,Yorkshire and the Humber,15000.0,1
126,A B Charitable Trust,2015,E08000021,E05001104,North East,15000.0,1
127,A B Charitable Trust,2015,E08000021,E05001111,North East,10000.0,1
128,A B Charitable Trust,2015,E08000025,E05001207,West Midlands,10000.0,1
129,A B Charitable Trust,2015,E08000026,E05001228,West Midlands,15000.0,1
130,A B Charitable Trust,2015,E08000035,E05001414,Yorkshire and the Humber,10000.0,1
131,A B Charitable Trust,2015,E08000035,E05001420,Yorkshire and the Humber,10000.0,1
132,A B Charitable Trust,2015,E08000035,E05001429,Yorkshire and the Humber,27500.0,3
133,A B Charitable Trust,2015,E09000001,E05009297,London,14500.0,2
134,A B Charitable Trust,2015,E09000005,E05000105,London,10000.0,1
135,A B Charitable Trust,2015,E09000007,E05000129,London,10000.0,1
136,A B Charitable Trust,2015,E09000007,E05000141,London,10000.0,1
137,A B Charitable Trust,2015,E09000012,E05009367,London,52500.0,3
138,A B Charitable Trust,2015,E09000013,E05000253,London,10000.0,1
139,A B Charitable Trust,2015,E09000014,E05000281,London,10000.0,1
140,A B Charitable Trust,2015,E09000015,E05000287,London,15000.0,1
141,A B Charitable Trust,2015,E09000015,E05000293,London,10000.0,1
142,A B Charitable Trust,2015,E09000017,E05000325,London,10000.0,1
143,A B Charitable Trust,2015,E09000019,E05000366,London,15000.0,1
144,A B Charitable Trust,2015,E09000019,E05000367,London,17500.0,2
145,A B Charitable Trust,2015,E09000019,E05000368,London,10000.0,1
146,A B Charitable Trust,2015,E09000019,E05000370,London,27500.0,2
147,A B Charitable Trust,2015,E09000019,E05000371,London,15000.0,2
148,A B Charitable Trust,2015,E09000019,E05000376,London,10000.0,1
149,A B Charitable Trust,2015,E09000019,E05000377,London,10000.0,1
150,A B Charitable Trust,2015,E09000019,E05000379,London,15000.0,1
151,A B Charitable Trust,2015,E09000020,E05009396,London,10000.0,1
152,A B Charitable Trust,2015,E09000020,E05009399,London,10000.0,1
153,A B Charitable Trust,2015,E09000021,E05000403,London,10000.0,1
154,A B Charitable Trust,2015,E09000022,E05000426,London,30000.0,2
155,A B Charitable Trust,2015,E09000022,E05000427,London,10000.0,1
156,A B Charitable Trust,2015,E09000022,E05000428,London,10000.0,1
157,A B Charitable Trust,2015,E09000022,E05000435,London,10000.0,1
158,A B Charitable Trust,2015,E09000028,E05000541,London,10000.0,1
159,A B Charitable Trust,2015,E09000028,E05000542,London,10000.0,1
160,A B Charitable Trust,2015,E09000028,E05000551,London,15000.0,1
161,A B Charitable Trust,2015,E09000030,E05009318,London,10000.0,1
162,A B Charitable Trust,2015,E09000030,E05009327,London,10000.0,1
163,A B Charitable Trust,2015,E09000030,E05009331,London,10000.0,1
164,A B Charitable Trust,2015,E09000030,E05009336,London,10000.0,1
