lad15cd,lad15nm,lad15nmw,objectid,st_lengthshape,st_areashape
E06000001,Hartlepool, ,1,71948.3705949656,93575324.32
E06000002,Middlesbrough, ,2,43840.9783471987,53888576.64946
E06000003,Redcar and Cleveland, ,3,97702.559334242,244815699.22179
E06000004,Stockton-on-Tees, ,4,119661.530406572,204960227.132215
E06000005,Darlington, ,5,107206.323036395,197475681.775
E06000006,Halton, ,6,77770.9908601261,79084024.69
E06000007,Warrington, ,7,114690.635098234,180627993.12195
E06000008,Blackburn with Darwen, ,8,65284.9582005062,137022088.1775
E06000009,Blackpool, ,9,34940.0069109031,34851505.877995
E06000010,"Kingston upon Hull, City of", ,10,64387.3198994061,71449812.17
E06000011,East Riding of Yorkshire, ,11,505224.96014429,2406485869.77869
E06000012,North East Lincolnshire, ,12,86544.3161388186,191863784.272875
E06000013,North Lincolnshire, ,13,241106.66251668,846296585.34651
E06000014,York, ,14,101957.499149186,271936976.745
E06000015,Derby, ,15,50037.5701103995,78031127.72
E06000016,Leicester, ,16,51931.6946815316,73342067.35
E06000017,Rutland, ,17,125884.913942259,393748897.03004
E06000018,Nottingham, ,18,58724.0800630327,74613559.1325
E06000019,"Herefordshire, County of", ,19,349871.515609609,2179711858.08
E06000020,Telford and Wrekin, ,20,118779.540778159,290313554.3625
E06000021,Stoke-on-Trent, ,21,63974.3855336143,93448489.535
E06000022,Bath and North East Somerset, ,22,141684.746903209,351123212.2725
E06000023,"Bristol, City of", ,23,109411.754017312,109609739.19739
E06000024,North Somerset, ,24,153608.903789592,374675898.73568
E06000025,South Gloucestershire, ,25,143018.170417863,496949220.62173
E06000026,Plymouth, ,26,92448.7367892009,79837267.2775403
E06000027,Torbay, ,27,78660.3197728841,62894047.0094762
E06000028,Bournemouth, ,28,48385.8345768306,46178519.51
E06000029,Poole, ,29,73756.8404302852,64766787.3125
E06000030,Swindon, ,30,103014.61381403,230093378.7525
E06000031,Peterborough, ,31,112678.013613404,343378172.64179
E06000040,Windsor and Maidenhead, ,40,114829.104150539,198427165.985
E06000041,Wokingham, ,41,86865.62991015,178965488.5525
E06000042,Milton Keynes, ,42,102960.295183631,308626797.6075
