,lad11cd,comparison_Number_of_charities
0,E06000001,3
1,E06000002,187
2,E06000003,46
3,E06000004,6
4,E06000005,165
5,E06000006,160
6,E06000007,357
7,E06000008,286
8,E06000009,138
9,E06000010,384
10,E06000011,68
11,E06000012,5
12,E06000013,62
13,E06000014,150
14,E06000015,115
15,E06000016,700
16,E06000017,30
17,E06000018,626
18,E06000019,868
19,E06000020,274
20,E06000021,305
21,E06000022,527
22,E06000023,1192
23,E06000024,35
24,E06000025,51
25,E06000026,477
26,E06000027,282
27,E06000028,314
28,E06000029,8
29,E06000030,382
30,E06000031,409
31,E06000032,384
32,E06000033,323
33,E06000034,14
34,E06000035,471
35,E06000036,34
36,E06000037,223
37,E06000038,347
38,E06000039,189
39,E06000040,526
40,E06000041,215
41,E06000042,318
42,E06000043,717
43,E06000044,340
44,E06000045,17
45,E06000046,21
46,E06000047,732
47,E06000048,41
48,E06000049,429
49,E06000050,758
50,E06000051,829
51,E06000052,444
52,E06000054,944
53,E06000055,11
54,E06000056,372
55,E07000004,106
56,E07000005,396
57,E07000006,277
58,E07000007,148
59,E07000008,653
60,E07000009,267
61,E07000010,35
62,E07000011,65
63,E07000012,173
64,E07000026,156
65,E07000027,3
66,E07000028,307
67,E07000029,7
68,E07000030,35
69,E07000031,337
70,E07000032,107
71,E07000033,67
72,E07000034,200
73,E07000035,322
74,E07000036,65
75,E07000037,43
76,E07000038,215
77,E07000039,15
78,E07000040,256
79,E07000041,431
80,E07000042,90
81,E07000043,16
82,E07000044,423
83,E07000045,158
84,E07000046,6
85,E07000047,10
86,E07000048,2
87,E07000049,29
88,E07000050,145
89,E07000051,16
90,E07000052,593
91,E07000053,164
92,E07000061,8
93,E07000062,8
94,E07000063,261
95,E07000064,24
96,E07000065,212
97,E07000066,19
98,E07000067,371
99,E07000068,37
100,E07000069,118
101,E07000070,491
102,E07000071,505
103,E07000072,174
104,E07000073,3
105,E07000074,193
106,E07000075,150
107,E07000076,80
108,E07000077,137
109,E07000078,14
110,E07000079,354
111,E07000080,29
112,E07000081,283
113,E07000082,367
114,E07000083,104
115,E07000084,35
116,E07000085,67
117,E07000086,5
118,E07000087,5
119,E07000088,4
120,E07000089,13
121,E07000090,154
122,E07000091,91
123,E07000092,9
124,E07000093,28
125,E07000094,48
126,E07000095,93
127,E07000096,372
128,E07000097,88
129,E07000098,256
130,E07000099,462
131,E07000100,551
132,E07000101,117
133,E07000102,239
134,E07000103,5
135,E07000104,240
136,E07000105,30
137,E07000106,484
138,E07000107,195
139,E07000108,69
140,E07000109,13
141,E07000110,31
142,E07000111,203
143,E07000112,29
144,E07000113,75
145,E07000114,127
146,E07000115,115
147,E07000116,321
148,E07000117,5
149,E07000118,201
150,E07000119,210
151,E07000120,134
152,E07000121,420
153,E07000122,109
154,E07000123,363
155,E07000124,205
156,E07000125,107
157,E07000126,160
158,E07000127,246
