,lad11cd,comparison_Population_Estimate
0,E06000001,93019.0
1,E06000002,140639.0
2,E06000003,136005.0
3,E06000004,196487.0
4,E06000005,106347.0
5,E06000006,137786.0
6,E06000007,209704.0
7,E06000008,161019.0
8,E06000009,139870.0
9,E06000010,260673.0
10,E06000011,340080.0
11,E06000012,162395.0
12,E06000013,171294.0
13,E06000014,208163.0
14,E06000015,259983.0
15,E06000016,353540.0
16,E06000017,39474.0
17,E06000018,348250.0
18,E06000019,192689.0
19,E06000020,180721.0
20,E06000021,255378.0
21,E06000022,199901.0
22,E06000023,481572.0
23,E06000024,212834.0
24,E06000025,284179.0
25,E06000026,263070.0
26,E06000027,135247.0
27,E06000028,194752.0
28,E06000029,151270.0
29,E06000030,224777.0
30,E06000031,198914.0
31,E06000032,214658.0
32,E06000033,187529.0
33,E06000034,170394.0
34,E06000035,277616.0
35,E06000036,120377.0
36,E06000037,158473.0
37,E06000038,166814.0
38,E06000039,148768.0
39,E06000040,156129.0
40,E06000041,170586.0
41,E06000042,272296.0
42,E06000043,288155.0
43,E06000044,214718.0
44,E06000045,252359.0
45,E06000046,140984.0
46,E06000047,536607.0
47,E06000048,319030.0
48,E06000049,380762.0
49,E06000050,341891.0
50,E06000051,339750.0
51,E06000052,561349.0
52,E06000053,2259.0
53,E06000054,501299.0
54,E06000055,172074.0
55,E06000056,280030.0
56,E07000004,210673.0
57,E07000005,95355.0
58,E07000006,78945.0
59,E07000007,188065.0
60,E07000008,124919.0
61,E07000009,93209.0
62,E07000010,118860.0
63,E07000011,176979.0
64,E07000012,164781.0
65,E07000026,101130.0
66,E07000027,67099.0
67,E07000028,109673.0
68,E07000029,68689.0
69,E07000030,52779.0
70,E07000031,106788.0
71,E07000032,127688.0
72,E07000033,79098.0
73,E07000034,108352.0
74,E07000035,73653.0
75,E07000036,115314.0
76,E07000037,92063.0
77,E07000038,125164.0
78,E07000039,115438.0
79,E07000040,142265.0
80,E07000041,128916.0
81,E07000042,85302.0
82,E07000043,95440.0
83,E07000044,85340.0
84,E07000045,141834.0
85,E07000046,71534.0
86,E07000047,62050.0
87,E07000048,61096.0
88,E07000049,89384.0
89,E07000050,71096.0
90,E07000051,52089.0
91,E07000052,105125.0
92,E07000053,65751.0
93,E07000061,113509.0
94,E07000062,92813.0
95,E07000063,107725.0
96,E07000064,100539.0
97,E07000065,158941.0
98,E07000066,184479.0
99,E07000067,151677.0
100,E07000068,76575.0
101,E07000069,89814.0
102,E07000070,176194.0
103,E07000071,190098.0
104,E07000072,150883.0
105,E07000073,89476.0
106,E07000074,63975.0
107,E07000075,86209.0
108,E07000076,144705.0
109,E07000077,90687.0
110,E07000078,117128.0
111,E07000079,87509.0
112,E07000080,90237.0
113,E07000081,129083.0
114,E07000082,126665.0
115,E07000083,95941.0
116,E07000084,175337.0
117,E07000085,123501.0
118,E07000086,130498.0
119,E07000087,116219.0
120,E07000088,85509.0
121,E07000089,95465.0
122,E07000090,125065.0
123,E07000091,179590.0
124,E07000092,95817.0
125,E07000093,127970.0
126,E07000094,123879.0
127,E07000095,114201.0
128,E07000096,177638.0
129,E07000097,154064.0
130,E07000098,104031.0
131,E07000099,133321.0
132,E07000100,147095.0
133,E07000101,87739.0
134,E07000102,94863.0
135,E07000103,96675.0
136,E07000104,124885.0
137,E07000105,135381.0
138,E07000106,164100.0
139,E07000107,107516.0
140,E07000108,115803.0
141,E07000109,106121.0
142,E07000110,180694.0
143,E07000111,125054.0
144,E07000112,116776.0
145,E07000113,146694.0
146,E07000114,141337.0
147,E07000115,143344.0
148,E07000116,129847.0
149,E07000117,87705.0
150,E07000118,115772.0
151,E07000119,78863.0
152,E07000120,82310.0
153,E07000121,142487.0
154,E07000122,97284.0
155,E07000123,141346.0
156,E07000124,59504.0
157,E07000125,70365.0
158,E07000126,119329.0
159,E07000127,132573.0
160,E07000128,113727.0
161,E07000129,121310.0
162,E07000130,182134.0
163,E07000131,108787.0
164,E07000132,111370.0
165,E07000133,57921.0
166,E07000134,100109.0
167,E07000135,57035.0
168,E07000136,68488.0
169,E07000137,146557.0
170,E07000138,98438.0
171,E07000139,120094.0
172,E07000140,93295.0
173,E07000141,141662.0
174,E07000142,105906.0
175,E07000143,138602.0
176,E07000144,131049.0
177,E07000145,99417.0
178,E07000146,159607.0
179,E07000147,104067.0
180,E07000148,140353.0
181,E07000149,135471.0
182,E07000150,69540.0
183,E07000151,87291.0
184,E07000152,102836.0
185,E07000153,100252.0
186,E07000154,225656.0
187,E07000155,91074.0
188,E07000156,78914.0
189,E07000163,70838.0
190,E07000164,90718.0
191,E07000165,180133.0
192,E07000166,55994.0
193,E07000167,67014.0
194,E07000168,114697.0
195,E07000169,90731.0
196,E07000170,126164.0
197,E07000171,125047.0
198,E07000172,129199.0
199,E07000173,117128.0
200,E07000174,108576.0
201,E07000175,131251.0
202,E07000176,115996.0
203,E07000177,149893.0
204,E07000178,154582.0
205,E07000179,139767.0
206,E07000180,131227.0
207,E07000181,121562.0
208,E07000187,123359.0
209,E07000188,124731.0
210,E07000189,170486.0
211,E07000190,121640.0
212,E07000191,36990.0
213,E07000192,99126.0
214,E07000193,117552.0
215,E07000194,103507.0
216,E07000195,134275.0
217,E07000196,111890.0
218,E07000197,134764.0
219,E07000198,98496.0
220,E07000199,76527.0
221,E07000200,90794.0
222,E07000201,69653.0
223,E07000202,138480.0
224,E07000203,114118.0
225,E07000204,113725.0
226,E07000205,131570.0
227,E07000206,117897.0
228,E07000207,142395.0
229,E07000208,83816.0
230,E07000209,153045.0
231,E07000210,90074.0
232,E07000211,156950.0
233,E07000212,86882.0
234,E07000213,107106.0
235,E07000214,88765.0
236,E07000215,100301.0
237,E07000216,128219.0
238,E07000217,101129.0
239,E07000218,64069.0
240,E07000219,135551.0
241,E07000220,108175.0
242,E07000221,130436.0
243,E07000222,140282.0
244,E07000223,63721.0
245,E07000224,158657.0
246,E07000225,120192.0
247,E07000226,111664.0
248,E07000227,157892.0
249,E07000228,159247.0
250,E07000229,109632.0
251,E07000234,103720.0
252,E07000235,88393.0
253,E07000236,85204.0
254,E07000237,102314.0
255,E07000238,142995.0
256,E07000239,102897.0
257,E08000001,284813.0
258,E08000002,189628.0
259,E08000003,556639.0
260,E08000004,256468.0
261,E08000005,229611.0
262,E08000006,275927.0
263,E08000007,291045.0
264,E08000008,238942.0
265,E08000009,235493.0
266,E08000010,324650.0
267,E08000011,160315.0
268,E08000012,491549.0
269,E08000013,202951.0
270,E08000014,280094.0
271,E08000015,322796.0
272,E08000016,262585.0
273,E08000017,308940.0
274,E08000018,285907.0
275,E08000019,577789.0
276,E08000020,202419.0
277,E08000021,295842.0
278,E08000022,204473.0
279,E08000023,149555.0
280,E08000024,277249.0
281,E08000025,1140400.0
282,E08000026,363227.0
283,E08000027,319419.0
284,E08000028,340061.0
285,E08000029,237656.0
286,E08000030,281293.0
287,E08000031,259926.0
288,E08000032,534800.0
289,E08000033,229714.0
290,E08000034,437145.0
291,E08000035,784846.0
292,E08000036,351796.0
293,E09000001,7654.0
294,E09000002,210711.0
295,E09000003,387803.0
296,E09000004,258908.0
297,E09000005,345920.0
298,E09000006,344846.0
299,E09000007,253361.0
300,E09000008,388313.0
301,E09000009,377339.0
302,E09000010,332705.0
303,E09000011,282849.0
304,E09000012,289566.0
305,E09000013,182998.0
306,E09000014,290041.0
307,E09000015,264863.0
308,E09000016,256039.0
309,E09000017,302343.0
310,E09000018,269100.0
311,E09000019,248287.0
312,E09000020,155741.0
313,E09000021,180660.0
314,E09000022,324048.0
315,E09000023,316756.0
316,E09000024,206052.0
317,E09000025,347996.0
318,E09000026,301785.0
319,E09000027,195680.0
320,E09000028,366658.0
321,E09000029,212351.0
322,E09000030,323460.0
323,E09000031,327978.0
324,E09000032,323257.0
325,E09000033,260025.0
326,W06000006,4982.0
327,W06000023,4308.0
