,WD17CD,comparison_Number_of_charities
0,E05000026,28
1,E05000027,14
2,E05000028,1
3,E05000030,14
4,E05000031,6
5,E05000032,16
6,E05000034,14
7,E05000035,20
8,E05000038,21
9,E05000039,38
10,E05000041,24
11,E05000045,127
12,E05000052,151
13,E05000053,283
14,E05000065,19
15,E05000066,14
16,E05000067,9
17,E05000072,10
18,E05000073,8
19,E05000074,11
20,E05000075,6
21,E05000076,13
22,E05000077,2
23,E05000078,24
24,E05000080,2
25,E05000082,8
26,E05000083,32
27,E05000084,35
28,E05000087,21
29,E05000089,20
30,E05000091,26
31,E05000092,26
32,E05000097,1
33,E05000098,19
34,E05000100,27
35,E05000103,2
36,E05000105,23
37,E05000107,18
38,E05000112,4
39,E05000114,1
40,E05000116,22
41,E05000117,7
42,E05000123,34
43,E05000129,67
44,E05000138,169
45,E05000141,78
46,E05000148,1
47,E05000150,1
48,E05000153,1
49,E05000158,37
50,E05000161,16
51,E05000164,40
52,E05000165,4
53,E05000166,37
54,E05000169,22
55,E05000175,2
56,E05000179,3
57,E05000219,2
58,E05000221,25
59,E05000222,45
60,E05000223,3
61,E05000224,14
62,E05000225,29
63,E05000226,34
64,E05000227,26
65,E05000228,54
66,E05000229,46
67,E05000230,31
68,E05000253,5
69,E05000262,3
70,E05000307,30
71,E05000308,12
72,E05000309,30
73,E05000311,12
74,E05000315,18
75,E05000318,17
76,E05000320,23
77,E05000321,20
78,E05000322,10
79,E05000323,31
80,E05000325,1
81,E05000326,2
82,E05000332,14
83,E05000333,32
84,E05000340,15
85,E05000343,1
86,E05000346,19
87,E05000351,15
88,E05000352,22
89,E05000353,15
90,E05000354,20
91,E05000367,73
92,E05000370,52
93,E05000374,1
94,E05000380,11
95,E05000406,8
96,E05000415,1
97,E05000416,11
98,E05000418,3
99,E05000420,4
100,E05000422,24
101,E05000423,23
102,E05000424,39
103,E05000426,47
104,E05000427,66
105,E05000428,40
106,E05000431,33
107,E05000432,31
108,E05000433,11
109,E05000434,35
110,E05000437,7
111,E05000438,23
112,E05000439,16
113,E05000441,17
114,E05000443,4
115,E05000444,31
116,E05000445,21
117,E05000446,23
118,E05000447,42
119,E05000448,37
120,E05000449,19
121,E05000450,33
122,E05000451,2
123,E05000452,31
124,E05000453,31
125,E05000455,21
126,E05000456,9
127,E05000457,20
128,E05000459,35
129,E05000461,5
130,E05000462,37
131,E05000463,2
132,E05000464,6
133,E05000465,1
134,E05000466,21
135,E05000469,35
136,E05000471,24
137,E05000472,44
138,E05000473,10
139,E05000474,36
140,E05000475,2
141,E05000508,1
142,E05000516,42
143,E05000517,53
144,E05000518,30
145,E05000519,35
146,E05000520,25
147,E05000521,26
148,E05000522,25
149,E05000525,32
150,E05000526,9
151,E05000528,39
152,E05000530,28
153,E05000532,2
154,E05000536,4
155,E05000538,43
156,E05000539,24
157,E05000540,17
158,E05000541,18
159,E05000542,1
160,E05000543,42
161,E05000544,24
162,E05000545,33
163,E05000546,43
164,E05000547,27
165,E05000548,13
166,E05000549,27
167,E05000550,7
168,E05000551,13
169,E05000552,20
170,E05000553,52
171,E05000554,48
172,E05000561,1
173,E05000610,37
174,E05000611,29
175,E05000612,19
176,E05000613,46
177,E05000614,27
178,E05000615,25
179,E05000616,27
180,E05000617,27
181,E05000618,45
182,E05000619,38
183,E05000620,25
184,E05000621,30
185,E05000622,48
186,E05000623,20
187,E05000624,36
188,E05000625,44
189,E05000626,35
190,E05000627,44
191,E05000628,22
192,E05000629,33
193,E05000633,16
194,E05000637,57
195,E05000644,329
196,E05000645,20
197,E05000646,58
198,E05000647,77
199,E05000739,4
200,E05000740,20
201,E05000741,9
202,E05000742,11
203,E05000744,19
204,E05000745,6
205,E05000746,4
206,E05000747,19
207,E05000748,21
208,E05000749,16
209,E05000750,16
210,E05000751,11
211,E05000753,5
212,E05000755,18
213,E05000756,16
214,E05000757,8
215,E05000794,2
216,E05000801,1
217,E05000809,6
218,E05000810,14
219,E05000811,17
220,E05000812,6
221,E05000813,18
222,E05000814,19
223,E05000817,10
224,E05000818,18
225,E05000819,44
226,E05000820,1
227,E05000821,41
228,E05000822,8
229,E05000830,44
230,E05000831,34
231,E05000837,24
232,E05000839,17
233,E05000917,8
234,E05000919,10
235,E05000920,20
236,E05000921,7
237,E05000922,10
238,E05000923,14
239,E05000925,26
240,E05000929,14
241,E05000930,1
242,E05000931,19
243,E05000954,25
244,E05000955,25
245,E05000956,29
246,E05000957,16
247,E05000958,48
248,E05000959,27
249,E05000960,18
250,E05000961,29
251,E05000962,56
252,E05000963,42
253,E05000964,17
254,E05000965,24
255,E05000966,19
256,E05000967,19
257,E05000968,27
258,E05000969,27
259,E05000970,21
260,E05000971,17
261,E05000972,16
262,E05000973,20
263,E05000974,27
264,E05000975,38
265,E05001068,7
266,E05001072,20
267,E05001073,1
268,E05001074,3
269,E05001075,12
270,E05001076,6
271,E05001078,6
272,E05001079,6
273,E05001081,13
274,E05001082,10
275,E05001084,1
276,E05001085,11
277,E05001086,11
278,E05001087,2
279,E05001088,12
280,E05001089,27
281,E05001092,9
282,E05001096,3
283,E05001100,5
284,E05001101,14
285,E05001114,1
286,E05001115,10
287,E05001116,11
288,E05001117,10
289,E05001118,6
290,E05001119,9
291,E05001120,25
292,E05001121,6
293,E05001122,10
294,E05001123,12
295,E05001124,20
296,E05001125,10
297,E05001126,4
298,E05001127,12
299,E05001128,26
300,E05001129,28
301,E05001130,28
302,E05001131,14
303,E05001132,12
304,E05001133,11
305,E05001134,25
306,E05001135,19
