,lad11cd,lad11nm,0_x,LAD17CD,LAD17NM,0_y
0,E07000223,Adur,1297,E07000223,Adur,211
1,E07000026,Allerdale,3606,E07000026,Allerdale,320
2,E07000032,Amber Valley,2378,E07000032,Amber Valley,400
3,E07000224,Arun,4360,E07000224,Arun,519
4,E07000170,Ashfield,2344,E07000170,Ashfield,385
5,E07000105,Ashford,3229,E07000105,Ashford,375
6,E07000004,Aylesbury Vale,4658,E07000004,Aylesbury Vale,564
7,E07000200,Babergh,2994,E07000200,Babergh,308
8,E09000002,Barking and Dagenham,2499,E09000002,Barking and Dagenham,553
9,E09000003,Barnet,7466,E09000003,Barnet,1036
10,E08000016,Barnsley,5952,E08000016,Barnsley,763
11,E07000027,Barrow-in-Furness,1810,E07000027,Barrow-in-Furness,243
12,E07000066,Basildon,3439,E07000066,Basildon,561
13,E07000084,Basingstoke and Deane,4074,E07000084,Basingstoke and Deane,556
14,E07000171,Bassetlaw,3219,E07000171,Bassetlaw,376
15,E06000022,Bath and North East Somerset,5074,E06000022,Bath and North East Somerset,583
16,E06000055,Bedford,3762,E06000055,Bedford,501
17,E09000004,Bexley,3872,E09000004,Bexley,728
18,E08000025,Birmingham,17890,E08000025,Birmingham,3223
19,E07000129,Blaby,1766,E07000129,Blaby,296
20,E06000008,Blackburn with Darwen,2698,E06000008,Blackburn with Darwen,438
21,E06000009,Blackpool,3062,E06000009,Blackpool,512
22,W06000019,Blaenau Gwent,1669,W06000019,Blaenau Gwent,241
23,E07000033,Bolsover,1724,E07000033,Bolsover,246
24,E08000001,Bolton,6156,E08000001,Bolton,887
25,E07000136,Boston,1799,E07000136,Boston,199
26,E06000028,Bournemouth,3991,E06000028,Bournemouth,594
27,E06000036,Bracknell Forest,2449,E06000036,Bracknell Forest,370
28,E08000032,Bradford,12537,E08000032,Bradford,1528
29,E07000067,Braintree,3799,E07000067,Braintree,473
30,E07000143,Breckland,3882,E07000143,Breckland,436
31,E09000005,Brent,4833,E09000005,Brent,829
32,E07000068,Brentwood,1858,E07000068,Brentwood,238
33,W06000013,Bridgend,2751,W06000013,Bridgend,453
34,E06000043,Brighton and Hove,4312,E06000043,Brighton and Hove,926
35,E06000023,"Bristol, City of",9675,E06000023,"Bristol, City of",1368
36,E07000144,Broadland,3323,E07000144,Broadland,421
37,E09000006,Bromley,6377,E09000006,Bromley,1020
38,E07000234,Bromsgrove,2466,E07000234,Bromsgrove,297
39,E07000095,Broxbourne,2042,E07000095,Broxbourne,290
40,E07000172,Broxtowe,2205,E07000172,Broxtowe,371
41,E07000117,Burnley,1955,E07000117,Burnley,295
42,E08000002,Bury,4315,E08000002,Bury,603
43,W06000018,Caerphilly,3827,W06000018,Caerphilly,568
44,E08000033,Calderdale,6347,E08000033,Calderdale,668
45,E07000008,Cambridge,2099,E07000008,Cambridge,372
46,E09000007,Camden,4912,E09000007,Camden,749
47,E07000192,Cannock Chase,1825,E07000192,Cannock Chase,309
48,E07000106,Canterbury,3847,E07000106,Canterbury,471
49,W06000015,Cardiff,6280,W06000015,Cardiff,1077
50,E07000028,Carlisle,3144,E07000028,Carlisle,362
51,W06000010,Carmarthenshire,6106,W06000010,Carmarthenshire,603
52,E07000069,Castle Point,1852,E07000069,Castle Point,287
53,E06000056,Central Bedfordshire,5247,E06000056,Central Bedfordshire,795
54,W06000008,Ceredigion,2804,W06000008,Ceredigion,256
55,E07000130,Charnwood,3071,E07000130,Charnwood,523
56,E07000070,Chelmsford,3534,E07000070,Chelmsford,542
57,E07000078,Cheltenham,3264,E07000078,Cheltenham,396
58,E07000177,Cherwell,3794,E07000177,Cherwell,448
59,E06000049,Cheshire East,9817,E06000049,Cheshire East,1245
60,E06000050,Cheshire West and Chester,9019,E06000050,Cheshire West and Chester,1109
61,E07000034,Chesterfield,2403,E07000034,Chesterfield,358
62,E07000225,Chichester,4050,E07000225,Chichester,381
63,E07000005,Chiltern,2628,E07000005,Chiltern,289
64,E07000118,Chorley,2385,E07000118,Chorley,353
65,E07000048,Christchurch,1206,E07000048,Christchurch,166
66,E09000001,City of London,343,E09000001,City of London,31
67,E07000071,Colchester,4360,E07000071,Colchester,584
68,W06000003,Conwy,3728,W06000003,Conwy,387
69,E07000029,Copeland,2260,E07000029,Copeland,243
70,E07000150,Corby,1145,E07000150,Corby,203
71,E06000052,Cornwall,18543,E06000052,Cornwall,1792
72,E07000079,Cotswold,2912,E07000079,Cotswold,297
73,E06000047,County Durham,14270,E06000047,County Durham,1726
74,E08000026,Coventry,5199,E08000026,Coventry,1014
75,E07000163,Craven,2420,E07000163,Craven,194
76,E07000226,Crawley,2118,E07000226,Crawley,334
77,E09000008,Croydon,6097,E09000008,Croydon,1132
78,E07000096,Dacorum,3422,E07000096,Dacorum,460
79,E06000005,Darlington,2472,E06000005,Darlington,360
80,E07000107,Dartford,1776,E07000107,Dartford,313
81,E07000151,Daventry,2058,E07000151,Daventry,248
82,W06000004,Denbighshire,3071,W06000004,Denbighshire,324
83,E06000015,Derby,4754,E06000015,Derby,779
84,E07000035,Derbyshire Dales,1926,E07000035,Derbyshire Dales,249
85,E08000017,Doncaster,6909,E08000017,Doncaster,978
86,E07000108,Dover,3341,E07000108,Dover,358
87,E08000027,Dudley,6168,E08000027,Dudley,1008
88,E09000009,Ealing,5207,E09000009,Ealing,956
89,E07000009,East Cambridgeshire,1788,E07000009,East Cambridgeshire,265
90,E07000040,East Devon,5229,E07000040,East Devon,449
91,E07000049,East Dorset,2368,E07000049,East Dorset,295
92,E07000085,East Hampshire,3483,E07000085,East Hampshire,370
93,E07000097,East Hertfordshire,3741,E07000242,East Hertfordshire,438
94,E07000137,East Lindsey,4642,E07000137,East Lindsey,487
95,E07000152,East Northamptonshire,1954,E07000152,East Northamptonshire,270
96,E06000011,East Riding of Yorkshire,9033,E06000011,East Riding of Yorkshire,1114
97,E07000193,East Staffordshire,2338,E07000193,East Staffordshire,361
98,E07000061,Eastbourne,2566,E07000061,Eastbourne,354
99,E07000086,Eastleigh,2841,E07000086,Eastleigh,403
100,E07000030,Eden,2295,E07000030,Eden,177
101,E07000207,Elmbridge,3290,E07000207,Elmbridge,406
102,E09000010,Enfield,5502,E09000010,Enfield,905
103,E07000072,Epping Forest,3097,E07000072,Epping Forest,419
104,E07000208,Epsom and Ewell,1589,E07000208,Epsom and Ewell,229
105,E07000036,Erewash,2153,E07000036,Erewash,377
106,E07000041,Exeter,2774,E07000041,Exeter,387
107,E07000087,Fareham,2813,E07000087,Fareham,357
108,E07000010,Fenland,2487,E07000010,Fenland,290
109,W06000005,Flintshire,3897,W06000005,Flintshire,497
110,E07000201,Forest Heath,1471,E07000201,Forest Heath,193
111,E07000080,Forest of Dean,2768,E07000080,Forest of Dean,265
112,E07000119,Fylde,1899,E07000119,Fylde,264
113,E08000020,Gateshead,4412,E08000037,Gateshead,706
114,E07000173,Gedling,2323,E07000173,Gedling,386
115,E07000081,Gloucester,2438,E07000081,Gloucester,400
116,E07000088,Gosport,1594,E07000088,Gosport,272
117,E07000109,Gravesham,1930,E07000109,Gravesham,316
118,E07000145,Great Yarmouth,2299,E07000145,Great Yarmouth,334
119,E09000011,Greenwich,4163,E09000011,Greenwich,809
120,E07000209,Guildford,3591,E07000209,Guildford,435
121,W06000002,Gwynedd,5066,W06000002,Gwynedd,404
122,E09000012,Hackney,3677,E09000012,Hackney,749
123,E06000006,Halton,2483,E06000006,Halton,408
124,E07000164,Hambleton,3619,E07000164,Hambleton,311
125,E09000013,Hammersmith and Fulham,2958,E09000013,Hammersmith and Fulham,625
126,E07000131,Harborough,2031,E07000131,Harborough,273
127,E09000014,Haringey,3858,E09000014,Haringey,753
128,E07000073,Harlow,1300,E07000073,Harlow,274
129,E07000165,Harrogate,4631,E07000165,Harrogate,532
